evNum	picoTimeMs	adcAtEvent	rateOverall 
633	555766	31	1.14
634	555889	33	1.14
635	555946	41	1.14
636	556400	109	1.14
637	556930	38	1.14
638	557667	49	1.14
639	561390	73	1.14
640	562748	32	1.14
641	565813	128	1.13
642	566244	59	1.13
643	566297	33	1.14
644	566508	46	1.14
645	567219	31	1.14
646	567504	53	1.14
647	568700	59	1.14
648	570764	30	1.14
649	574170	36	1.13
650	576048	56	1.13
651	576241	30	1.13
652	576537	59	1.13
653	576573	49	1.13
654	576905	65	1.13
655	577441	72	1.13
656	577530	67	1.14
657	577562	38	1.14
658	578742	226	1.14
659	579841	42	1.14
660	579897	60	1.14
661	579960	155	1.14
662	580225	43	1.14
663	582060	112	1.14
664	582694	34	1.14
665	583432	43	1.14
666	583870	67	1.14
667	584592	130	1.14
668	585789	46	1.14
669	585869	47	1.14
670	587343	53	1.14
671	587554	52	1.14
672	589044	67	1.14
673	589531	70	1.14
674	589693	37	1.14
675	591276	108	1.14
676	591875	36	1.14
677	592713	41	1.14
678	593042	32	1.14
679	593314	47	1.14
680	593336	96	1.15
681	593484	31	1.15
682	594022	50	1.15
683	594669	31	1.15
684	595619	101	1.15
685	596396	38	1.15
686	596658	41	1.15
687	598258	33	1.15
688	598299	47	1.15
689	599398	53	1.15
690	599640	30	1.15
691	604448	49	1.14
692	604587	40	1.14
693	605230	138	1.15
694	605363	31	1.15
695	607105	77	1.14
696	608270	46	1.14
697	608596	38	1.15
698	608756	99	1.15
699	610218	66	1.15
700	610247	30	1.15
701	610390	60	1.15
702	611440	60	1.15
703	611746	32	1.15
704	612912	76	1.15
705	613232	47	1.15
706	613616	36	1.15
707	614277	115	1.15
708	614755	88	1.15
709	615902	47	1.15
710	616603	78	1.15
711	616862	111	1.15
712	617096	31	1.15
713	618738	51	1.15
714	619692	105	1.15
715	620099	30	1.15
716	623044	90	1.15
717	623097	56	1.15
718	623719	31	1.15
719	623989	48	1.15
720	624102	63	1.15
721	624148	43	1.16
722	624653	39	1.16
723	625636	36	1.16
724	626159	36	1.16
725	626899	36	1.16
726	628257	115	1.16
727	629538	60	1.15
728	629626	102	1.16
729	631257	58	1.15
730	632628	81	1.15
731	633166	79	1.15
732	633787	47	1.15
733	634437	35	1.16
734	635829	33	1.15
735	636065	72	1.16
736	636746	92	1.16
737	637007	35	1.16
738	639110	44	1.15
739	640209	33	1.15
740	640432	35	1.16
741	641004	105	1.16
742	641267	35	1.16
743	641675	38	1.16
744	642000	38	1.16
745	642160	103	1.16
746	642643	59	1.16
747	643330	97	1.16
748	643876	36	1.16
749	644902	112	1.16
750	647129	125	1.16
751	648635	34	1.16
752	649426	53	1.16
753	650719	36	1.16
754	652769	42	1.16
755	653239	69	1.16
756	653459	37	1.16
757	654371	292	1.16
758	655294	51	1.16
759	656038	47	1.16
760	656215	94	1.16
761	656415	32	1.16
762	657255	54	1.16
763	658187	32	1.16
764	658259	326	1.16
765	660370	44	1.16
766	660442	40	1.16
767	661484	44	1.16
768	661562	53	1.16
769	663621	35	1.16
770	663809	30	1.16
771	664143	62	1.16
772	665802	117	1.16
773	666463	116	1.16
774	666523	37	1.16
775	666984	35	1.16
776	669243	124	1.16
777	669532	48	1.16
778	670322	34	1.16
779	670696	62	1.16
780	671770	90	1.16
781	672213	109	1.16
782	672546	148	1.16
783	672712	51	1.16
784	672927	53	1.17
785	673152	56	1.17
786	674282	66	1.17
787	676087	79	1.16
788	679689	69	1.16
789	680133	40	1.16
790	680915	37	1.16
791	681453	33	1.16
792	681761	44	1.16
793	683947	121	1.16
794	684595	30	1.16
795	685014	39	1.16
796	685265	30	1.16
797	685608	58	1.16
798	686138	45	1.16
799	686996	42	1.16
800	687486	140	1.16
801	688118	30	1.16
802	690240	57	1.16
803	690656	30	1.16
804	691659	58	1.16
805	692555	74	1.16
806	692738	47	1.16
807	693913	60	1.16
808	694837	92	1.16
809	695538	39	1.16
810	695565	91	1.16
811	695862	87	1.17
812	697362	132	1.16
813	698633	92	1.16
814	698691	72	1.17
815	698876	53	1.17
816	699406	39	1.17
817	699511	39	1.17
818	700246	44	1.17
819	701771	41	1.17
820	702851	38	1.17
821	704381	30	1.17
822	704744	126	1.17
823	705884	86	1.17
824	707411	152	1.16
825	707649	33	1.17
826	709243	33	1.16
827	710974	37	1.16
828	712075	214	1.16
829	712272	92	1.16
830	713706	49	1.16
831	715110	155	1.16
832	716299	30	1.16
833	717734	42	1.16
834	717990	40	1.16
835	720311	195	1.16
836	720729	336	1.16
837	722529	64	1.16
838	724010	58	1.16
839	724048	70	1.16
840	726625	34	1.16
841	726899	35	1.16
842	727181	92	1.16
843	729249	50	1.16
844	729744	39	1.16
845	729999	36	1.16
846	732592	57	1.15
847	733224	43	1.16
848	733481	32	1.16
849	736818	33	1.15
850	736881	95	1.15
851	739375	48	1.15
852	739786	98	1.15
853	741054	45	1.15
854	744394	355	1.15
855	745963	317	1.15
856	747807	46	1.14
857	749260	35	1.14
858	749452	80	1.14
859	750167	39	1.15
860	752728	101	1.14
861	753093	44	1.14
862	753650	177	1.14
863	754257	196	1.14
864	754434	62	1.15
865	754953	120	1.15
866	755801	44	1.15
867	756174	31	1.15
868	757401	61	1.15
869	760083	123	1.14
870	760231	58	1.14
871	761481	42	1.14
872	763855	41	1.14
873	766321	79	1.14
874	766965	41	1.14
875	767789	52	1.14
876	768108	49	1.14
877	768387	127	1.14
878	770581	30	1.14
879	771022	38	1.14
880	772642	54	1.14
881	773730	40	1.14
882	775029	30	1.14
883	775383	73	1.14
884	775405	45	1.14
885	775673	93	1.14
886	776861	58	1.14
887	777454	32	1.14
888	778996	46	1.14
889	779527	66	1.14
890	780879	34	1.14
891	782907	53	1.14
892	783320	55	1.14
893	783568	162	1.14
894	783680	41	1.14
895	784570	68	1.14
896	785447	40	1.14
897	786181	40	1.14
898	786752	40	1.14
899	788816	40	1.14
900	788902	55	1.14
901	791236	33	1.14
902	791565	40	1.14
903	792635	46	1.14
904	792698	37	1.14
905	793019	34	1.14
906	794429	39	1.14
907	796813	81	1.14
908	797688	214	1.14
909	800252	53	1.14
910	800998	71	1.14
911	801343	49	1.14
912	801816	92	1.14
913	805494	86	1.13
914	806045	54	1.13
915	806846	64	1.13
916	807453	63	1.13
917	807553	78	1.14
918	807794	33	1.14
919	808315	100	1.14
920	810478	43	1.14
921	810994	103	1.14
922	812015	43	1.14
923	812870	173	1.14
924	812927	69	1.14
925	816551	31	1.13
926	819117	36	1.13
927	819248	116	1.13
928	819840	45	1.13
929	820817	75	1.13
930	820888	37	1.13
931	822404	35	1.13
932	825161	35	1.13
933	825248	71	1.13
934	825873	34	1.13
935	826694	83	1.13
936	826911	32	1.13
937	827169	44	1.13
938	827420	33	1.13
939	828392	66	1.13
940	829142	31	1.13
941	830028	40	1.13
942	831156	74	1.13
943	831219	41	1.13
944	831747	30	1.13
945	831798	33	1.14
946	832293	193	1.14
947	832888	80	1.14
948	833687	43	1.14
949	834276	50	1.14
950	834291	51	1.14
951	834876	43	1.14
952	835740	38	1.14
953	836392	89	1.14
954	837634	99	1.14
955	838632	136	1.14
956	838818	49	1.14
957	839970	31	1.14
958	841247	32	1.14
959	841342	97	1.14
960	842224	198	1.14
961	845118	35	1.14
962	845943	32	1.14
963	846235	36	1.14
964	847787	39	1.14
965	849224	41	1.14
966	849851	30	1.14
967	849923	238	1.14
968	852044	30	1.14
969	853621	266	1.14
970	854630	37	1.13
971	854975	34	1.14
972	856774	109	1.13
973	856982	36	1.14
974	857667	30	1.14
975	857808	33	1.14
976	858911	31	1.14
977	860127	43	1.14
978	860671	30	1.14
979	861195	71	1.14
980	861488	44	1.14
981	862196	33	1.14
982	862836	35	1.14
983	863484	41	1.14
984	864097	45	1.14
985	865854	43	1.14
986	866652	37	1.14
987	866745	42	1.14
988	867788	38	1.14
989	868434	53	1.14
990	870118	44	1.14
991	870986	74	1.14
992	873385	33	1.14
993	873900	175	1.14
994	876406	131	1.13
995	876963	61	1.13
996	877869	90	1.13
997	879479	43	1.13
998	880124	34	1.13
999	880398	62	1.13
1000	880933	33	1.14
