evNum	TimeMs	adcAtEvent	rateOverall
544	457631	30	1.19
545	457835	36	1.19
546	457977	299	1.19
547	460723	36	1.19
548	461227	39	1.19
549	465547	63	1.18
550	466677	41	1.18
551	467125	34	1.18
552	467410	66	1.18
553	467430	45	1.18
554	467472	80	1.19
555	467527	100	1.19
556	469195	43	1.19
557	469812	79	1.19
558	471131	40	1.18
559	471739	34	1.18
560	471823	31	1.19
561	474527	34	1.18
562	475501	51	1.18
563	476117	159	1.18
564	476250	68	1.18
565	477008	33	1.18
566	477754	41	1.18
567	477907	56	1.19
568	478012	104	1.19
569	479288	88	1.19
570	481402	35	1.18
571	482014	30	1.18
572	482068	50	1.19
573	482179	30	1.19
574	482826	63	1.19
575	483122	32	1.19
576	483696	81	1.19
577	484160	31	1.19
578	484743	43	1.19
579	486262	37	1.19
580	486993	238	1.19
581	487331	106	1.19
582	487451	32	1.19
583	488766	112	1.19
584	489283	80	1.19
585	490181	156	1.19
586	490946	176	1.19
587	491426	30	1.19
588	493140	296	1.19
589	493572	53	1.19
590	494472	30	1.19
591	494575	37	1.19
592	495259	39	1.20
593	496285	39	1.19
594	496325	101	1.20
595	496885	70	1.20
596	498686	44	1.20
597	499211	149	1.20
598	499450	31	1.20
599	499746	37	1.20
600	499789	35	1.20
601	500075	38	1.20
602	500148	37	1.20
603	500518	125	1.20
604	500861	90	1.21
605	501004	149	1.21
606	501214	46	1.21
607	501378	35	1.21
608	503166	73	1.21
609	506097	76	1.20
610	506509	30	1.20
611	506796	98	1.21
612	508074	52	1.20
613	508932	84	1.20
614	509300	57	1.21
615	509544	31	1.21
616	511334	81	1.20
617	512651	49	1.20
618	513223	45	1.20
619	514805	210	1.20
620	514884	71	1.20
621	515330	39	1.21
622	516661	65	1.20
623	516891	47	1.21
624	516977	78	1.21
625	517333	193	1.21
626	519108	87	1.21
627	519551	34	1.21
628	521964	33	1.20
629	523745	57	1.20
630	524160	63	1.20
631	524656	66	1.20
632	526634	66	1.20
633	527936	32	1.20
634	528817	38	1.20
635	528901	32	1.20
636	529038	34	1.20
637	530677	34	1.20
638	530744	51	1.20
639	530911	114	1.20
640	531636	39	1.20
641	531674	86	1.21
642	534330	52	1.20
643	535008	33	1.20
644	538038	43	1.20
645	538510	35	1.20
646	539384	30	1.20
647	539501	48	1.20
648	540717	42	1.20
649	542046	67	1.20
650	542163	63	1.20
651	542465	54	1.20
652	542676	42	1.20
653	543375	31	1.20
654	544805	33	1.20
655	546506	47	1.20
656	546571	42	1.20
657	549651	101	1.20
658	550602	33	1.20
659	552072	41	1.19
660	552207	45	1.20
661	555960	85	1.19
662	556679	91	1.19
663	557872	35	1.19
664	558033	243	1.19
665	559318	30	1.19
666	559613	59	1.19
667	560555	36	1.19
668	560884	46	1.19
669	561368	48	1.19
670	561840	67	1.19
671	563079	31	1.19
672	563266	38	1.19
673	565684	31	1.19
674	565880	40	1.19
675	566488	35	1.19
676	567261	46	1.19
677	569120	89	1.19
678	569237	44	1.19
679	569620	68	1.19
680	570204	36	1.19
681	570806	51	1.19
682	571379	33	1.19
683	572294	59	1.19
684	572665	34	1.19
685	573271	39	1.19
686	574576	78	1.19
687	575098	44	1.19
688	577208	35	1.19
689	578220	46	1.19
690	579312	101	1.19
691	579811	49	1.19
692	583038	114	1.19
693	583733	39	1.19
694	583798	130	1.19
695	586250	60	1.19
696	586919	87	1.19
697	587281	30	1.19
698	587529	40	1.19
699	588607	106	1.19
700	589284	44	1.19
701	590139	38	1.19
702	591601	30	1.19
703	593352	51	1.18
704	593652	45	1.19
705	593950	30	1.19
706	594884	89	1.19
707	597750	57	1.18
708	598366	67	1.18
709	599102	122	1.18
710	599603	31	1.18
711	600054	95	1.18
712	600175	32	1.19
713	600981	47	1.19
714	602742	74	1.18
715	604278	53	1.18
716	604684	56	1.18
717	604943	32	1.19
718	605875	53	1.19
719	606037	51	1.19
720	607016	42	1.19
721	607143	34	1.19
722	607542	47	1.19
723	610228	150	1.18
724	610324	91	1.19
725	611022	51	1.19
726	611157	36	1.19
727	611330	83	1.19
728	612413	56	1.19
729	612821	114	1.19
730	613573	54	1.19
731	614109	49	1.19
732	617048	47	1.19
733	617940	78	1.19
734	618222	48	1.19
735	618442	72	1.19
736	618673	52	1.19
737	618862	32	1.19
738	619032	44	1.19
739	619307	49	1.19
740	619501	37	1.19
741	619855	35	1.20
742	620133	31	1.20
743	620358	53	1.20
744	623037	49	1.19
745	623301	73	1.20
746	623981	30	1.20
747	624185	31	1.20
748	624306	30	1.20
749	624537	92	1.20
750	625197	30	1.20
751	625669	82	1.20
752	625930	86	1.20
753	626735	45	1.20
754	626959	81	1.20
755	628163	31	1.20
756	628605	76	1.20
757	629979	47	1.20
758	630143	45	1.20
759	630255	30	1.20
760	631056	93	1.20
761	635030	38	1.20
762	638133	35	1.19
763	638822	47	1.19
764	639154	50	1.20
765	639778	31	1.20
766	641553	36	1.19
767	641803	54	1.20
768	642568	66	1.20
769	643208	77	1.20
770	643645	159	1.20
771	644070	47	1.20
772	647089	239	1.19
773	647363	63	1.19
774	648633	118	1.19
775	650802	54	1.19
776	651645	50	1.19
777	651752	229	1.19
778	652093	49	1.19
779	652370	43	1.19
780	652654	36	1.20
781	652966	99	1.20
782	654396	31	1.19
783	654469	30	1.20
784	654942	45	1.20
785	655170	114	1.20
786	655745	30	1.20
787	657650	42	1.20
788	658277	84	1.20
789	658359	126	1.20
790	659230	32	1.20
791	659453	76	1.20
792	661126	40	1.20
793	662081	62	1.20
794	662236	35	1.20
795	662399	77	1.20
796	664429	306	1.20
797	664988	33	1.20
798	665229	33	1.20
799	667648	41	1.20
800	667668	32	1.20
801	668745	81	1.20
802	668902	37	1.20
803	669479	38	1.20
804	670442	30	1.20
805	671565	49	1.20
806	673902	35	1.20
807	677145	42	1.19
808	678167	81	1.19
809	678963	60	1.19
810	679804	76	1.19
811	680723	37	1.19
812	682093	63	1.19
813	682529	84	1.19
814	684705	39	1.19
815	684850	211	1.19
816	686028	31	1.19
817	687602	32	1.19
818	687635	58	1.19
819	690132	51	1.19
820	693171	54	1.18
821	693289	99	1.18
822	694156	66	1.18
823	694985	46	1.18
824	695132	37	1.19
825	696242	93	1.18
826	696781	57	1.19
827	696902	39	1.19
828	696997	34	1.19
829	697290	41	1.19
830	698098	38	1.19
831	698257	35	1.19
832	700604	40	1.19
833	701160	50	1.19
834	702045	37	1.19
835	702278	30	1.19
836	702342	60	1.19
837	702811	77	1.19
838	704069	38	1.19
839	704219	38	1.19
840	704272	47	1.19
841	704375	30	1.19
842	705582	39	1.19
843	707557	115	1.19
844	708925	60	1.19
845	709828	68	1.19
846	711266	184	1.19
847	711309	76	1.19
848	711700	95	1.19
849	714040	47	1.19
850	714399	56	1.19
851	715211	60	1.19
852	716307	46	1.19
853	717173	39	1.19
854	717881	34	1.19
855	718833	81	1.19
856	719058	39	1.19
857	719140	31	1.19
858	719241	129	1.19
859	719774	79	1.19
860	720072	36	1.19
861	721557	34	1.19
862	721798	131	1.19
863	723232	86	1.19
864	723301	61	1.19
865	725194	101	1.19
866	726559	81	1.19
867	727900	42	1.19
868	729088	34	1.19
869	730507	65	1.19
870	730739	69	1.19
871	731224	33	1.19
872	732124	52	1.19
873	733076	40	1.19
874	733175	116	1.19
875	734906	37	1.19
876	736473	35	1.19
877	737414	75	1.19
878	739066	236	1.19
879	740461	38	1.19
880	742123	76	1.19
881	742410	38	1.19
882	742732	41	1.19
883	744239	48	1.19
884	744997	39	1.19
885	745355	31	1.19
886	745638	76	1.19
887	746288	42	1.19
