evNum	picoTimeMs	adcAtEvent	rateOverall
632	319824	22	1.98
633	320121	97	1.98
634	320979	28	1.98
635	321146	57	1.98
636	321349	40	1.98
637	321760	30	1.98
638	322031	34	1.98
639	322533	29	1.98
640	323824	25	1.98
641	324500	20	1.98
642	324635	36	1.98
643	324737	39	1.98
644	324946	24	1.98
645	325086	150	1.98
646	325255	24	1.99
647	325358	56	1.99
648	325929	39	1.99
649	327029	256	1.98
650	327181	46	1.99
651	327498	23	1.99
652	327768	23	1.99
653	328887	84	1.99
654	329947	20	1.98
655	330063	46	1.98
656	330293	22	1.99
657	330559	25	1.99
658	331176	33	1.99
659	331445	82	1.99
660	331806	70	1.99
661	332083	40	1.99
662	332438	44	1.99
663	333213	34	1.99
664	333702	81	1.99
665	333951	44	1.99
666	334084	23	1.99
667	334209	33	2.00
668	334240	33	2.00
669	334701	27	2.00
670	334725	24	2.00
671	335132	25	2.00
672	335333	27	2.00
673	335427	47	2.01
674	336038	49	2.01
675	336810	40	2.00
676	337320	24	2.00
677	339040	30	2.00
678	339235	31	2.00
679	339914	69	2.00
680	340032	21	2.00
681	340115	24	2.00
682	340987	81	2.00
683	341739	38	2.00
684	341754	25	2.00
685	343274	39	2.00
686	344176	22	1.99
687	344582	22	1.99
688	344661	56	2.00
689	345356	24	2.00
690	345525	26	2.00
691	345890	34	2.00
692	346234	39	2.00
693	346711	234	2.00
694	346850	20	2.00
695	347437	31	2.00
696	347653	36	2.00
697	347943	23	2.00
698	348136	47	2.00
699	348188	27	2.01
700	348323	32	2.01
701	348955	24	2.01
702	348983	24	2.01
703	349832	28	2.01
704	350122	23	2.01
705	350639	59	2.01
706	350975	189	2.01
707	351527	61	2.01
708	351790	23	2.01
709	352182	43	2.01
710	352437	46	2.01
711	353962	45	2.01
712	353996	64	2.01
713	354318	118	2.01
714	354567	60	2.01
715	354587	28	2.02
716	354736	112	2.02
717	355564	60	2.02
718	356769	90	2.01
719	356794	23	2.02
720	357063	21	2.02
721	357852	21	2.01
722	358680	26	2.01
723	360204	21	2.01
724	361384	20	2.00
725	361450	26	2.01
726	361788	20	2.01
727	361886	21	2.01
728	362451	40	2.01
729	362465	54	2.01
730	362863	25	2.01
731	363285	28	2.01
732	363641	32	2.01
733	364137	30	2.01
734	364488	29	2.01
735	364542	90	2.02
736	365026	21	2.02
737	365943	21	2.01
738	366399	29	2.01
739	366471	100	2.02
740	367159	74	2.02
741	367191	24	2.02
742	367423	25	2.02
743	367561	27	2.02
744	369292	23	2.01
745	369491	39	2.02
746	369848	20	2.02
747	369895	22	2.02
748	370894	24	2.02
749	371054	23	2.02
750	371597	27	2.02
751	371947	35	2.02
752	372691	25	2.02
753	373029	52	2.02
754	373345	82	2.02
755	373798	28	2.02
756	375572	76	2.01
757	375946	43	2.01
758	376594	103	2.01
759	376770	33	2.01
760	377983	74	2.01
761	378424	103	2.01
762	378638	20	2.01
763	378887	21	2.01
764	379374	28	2.01
765	379988	51	2.01
766	380878	27	2.01
767	380952	52	2.01
768	381747	30	2.01
769	382214	73	2.01
770	382244	47	2.01
771	382458	29	2.02
772	383488	24	2.01
773	383502	81	2.02
774	383742	167	2.02
775	384081	117	2.02
776	384182	21	2.02
777	384774	26	2.02
778	386693	52	2.01
779	387174	30	2.01
780	387996	33	2.01
781	388265	46	2.01
782	388549	147	2.01
783	388657	40	2.01
784	389266	23	2.01
785	389821	20	2.01
786	390294	26	2.01
787	390403	22	2.02
788	391327	59	2.01
789	391471	20	2.02
790	391500	31	2.02
791	391806	27	2.02
792	392299	45	2.02
793	392828	66	2.02
794	393521	24	2.02
795	393705	20	2.02
796	394594	29	2.02
797	394864	40	2.02
798	395174	27	2.02
799	395859	30	2.02
800	396224	37	2.02
801	396703	82	2.02
802	397116	28	2.02
803	397177	25	2.02
804	398403	30	2.02
805	398570	40	2.02
806	398984	34	2.02
807	399427	27	2.02
808	399710	52	2.02
809	399892	24	2.02
810	400234	36	2.02
811	400278	26	2.03
812	400438	26	2.03
813	400697	172	2.03
814	400744	83	2.03
815	401044	54	2.03
816	401640	74	2.03
817	401767	40	2.03
818	401969	35	2.03
819	402415	234	2.04
820	403364	186	2.03
821	403452	20	2.03
822	404845	33	2.03
823	404864	32	2.03
824	405744	31	2.03
825	406048	24	2.03
826	406139	26	2.03
827	406447	28	2.03
828	406503	42	2.04
829	407436	40	2.03
830	407562	46	2.04
831	407656	22	2.04
832	407912	23	2.04
833	408520	54	2.04
834	408636	170	2.04
835	408705	20	2.04
836	409037	32	2.04
837	409112	35	2.05
838	409478	75	2.05
839	409707	29	2.05
840	410157	70	2.05
841	410654	24	2.05
842	410893	42	2.05
843	410921	23	2.05
844	411193	20	2.05
845	411309	20	2.05
846	412330	40	2.05
847	412525	28	2.05
848	413923	22	2.05
849	413982	31	2.05
850	413996	80	2.05
851	414976	20	2.05
852	415356	25	2.05
853	416309	85	2.05
854	416457	30	2.05
855	416770	124	2.05
856	417516	22	2.05
857	418735	28	2.05
858	418884	50	2.05
859	419473	54	2.05
860	420133	20	2.05
861	420239	88	2.05
862	420425	39	2.05
863	420872	29	2.05
864	421023	125	2.05
865	421228	20	2.05
866	421982	20	2.05
867	422129	34	2.05
868	422832	30	2.05
869	422886	37	2.05
870	423525	54	2.05
871	425164	120	2.05
872	425399	20	2.05
873	425834	34	2.05
874	425995	30	2.05
875	426656	43	2.05
876	427174	38	2.05
877	427767	21	2.05
878	427951	29	2.05
879	429282	80	2.05
880	429934	58	2.05
881	430238	88	2.05
882	430441	180	2.05
883	430540	77	2.05
884	430996	36	2.05
885	431165	27	2.05
886	431439	109	2.05
887	431518	108	2.06
888	432331	53	2.05
889	432414	23	2.06
890	433068	39	2.06
891	433713	53	2.05
892	434720	147	2.05
893	435142	91	2.05
894	437997	131	2.04
895	438574	23	2.04
896	438890	52	2.04
897	439031	28	2.04
898	440676	69	2.04
899	440956	66	2.04
900	442190	27	2.04
901	442238	62	2.04
902	442311	26	2.04
903	443812	58	2.03
904	444285	20	2.03
905	445382	23	2.03
906	445426	41	2.03
907	445559	44	2.04
908	446123	73	2.04
909	446315	31	2.04
910	446379	31	2.04
911	447412	20	2.04
912	447720	20	2.04
913	448229	30	2.04
914	448636	55	2.04
915	448916	37	2.04
916	449947	55	2.04
917	450835	43	2.03
918	451230	41	2.03
919	451447	21	2.04
920	451525	33	2.04
921	452351	116	2.04
922	452802	33	2.04
923	453421	100	2.04
924	454592	23	2.03
925	456561	21	2.03
926	456917	32	2.03
927	458801	26	2.02
928	458979	20	2.02
929	459380	22	2.02
930	459752	126	2.02
931	462132	20	2.01
932	462607	25	2.01
933	466111	33	2.00
934	466142	37	2.00
935	466480	20	2.00
936	466747	200	2.01
937	467136	27	2.01
938	467569	37	2.01
939	468373	319	2.00
940	468565	70	2.01
941	469168	49	2.01
942	469389	32	2.01
943	469406	24	2.01
944	469432	22	2.01
945	470167	25	2.01
946	470433	236	2.01
947	470489	24	2.01
948	470656	20	2.01
949	471984	20	2.01
950	472225	28	2.01
951	473699	22	2.01
952	474923	25	2.00
953	475197	20	2.01
954	475419	34	2.01
955	475573	29	2.01
956	475704	55	2.01
957	476751	36	2.01
958	476833	33	2.01
959	477098	30	2.01
960	477125	21	2.01
961	477708	25	2.01
962	477826	30	2.01
963	480464	30	2.00
964	480624	96	2.01
965	481430	41	2.00
966	481760	22	2.01
967	482041	26	2.01
968	482097	41	2.01
969	482234	24	2.01
970	482280	34	2.01
971	483292	41	2.01
972	483657	22	2.01
973	483975	30	2.01
974	484228	32	2.01
975	484436	34	2.01
976	484777	27	2.01
977	485670	26	2.01
978	486677	21	2.01
979	487194	24	2.01
980	487252	61	2.01
981	487705	24	2.01
982	487841	22	2.01
983	487922	27	2.01
984	488867	25	2.01
985	488886	26	2.01
986	489730	22	2.01
987	491193	137	2.01
988	491380	27	2.01
989	491789	29	2.01
990	492386	48	2.01
991	492600	35	2.01
992	493672	48	2.01
993	494000	52	2.01
994	494173	30	2.01
995	495621	31	2.01
996	496064	26	2.01
997	496521	122	2.01
998	497336	51	2.01
999	497390	21	2.01
1000	497475	135	2.01
1001	497690	21	2.01
1002	498297	115	2.01
1003	498632	24	2.01
1004	498678	36	2.01
1005	498793	60	2.01
1006	499314	22	2.01
1007	499441	34	2.02
1008	499788	25	2.02
1009	500397	20	2.02
1010	500448	25	2.02
1011	500582	29	2.02
1012	502676	26	2.01
1013	502845	263	2.01
1014	503689	28	2.01
1015	503761	31	2.01
1016	505352	45	2.01
1017	505499	33	2.01
1018	505778	25	2.01
1019	507004	172	2.01
1020	507202	24	2.01
1021	507592	48	2.01
1022	507900	46	2.01
1023	508128	42	2.01
1024	508524	23	2.01
1025	510429	24	2.01
1026	510771	28	2.01
1027	511172	35	2.01
1028	511201	34	2.01
1029	511409	83	2.01
1030	512089	171	2.01
1031	512883	38	2.01
1032	513061	54	2.01
1033	513578	71	2.01
1034	514342	20	2.01
1035	514578	51	2.01
1036	515323	50	2.01
1037	516854	37	2.01
1038	516905	20	2.01
1039	516945	23	2.01
1040	517453	25	2.01
1041	517525	57	2.01
1042	517620	81	2.01
1043	517934	22	2.01
1044	518936	33	2.01
1045	518955	41	2.01
1046	519675	46	2.01
1047	520164	26	2.01
1048	520525	31	2.01
1049	520785	21	2.01
1050	521716	21	2.01
1051	522612	24	2.01
1052	522733	23	2.01
1053	522776	33	2.01
1054	522954	207	2.02
1055	523623	29	2.01
1056	523818	62	2.02
1057	523980	20	2.02
1058	524093	208	2.02
1059	524592	35	2.02
1060	525378	55	2.02
1061	526129	20	2.02
1062	526564	40	2.02
1063	526782	28	2.02
1064	526870	26	2.02
1065	527831	32	2.02
1066	528214	44	2.02
1067	528519	138	2.02
1068	529181	128	2.02
1069	530222	22	2.02
1070	530589	24	2.02
1071	530703	24	2.02
1072	530786	127	2.02
1073	531350	26	2.02
1074	531583	76	2.02
1075	533492	38	2.02
1076	533827	22	2.02
1077	534103	24	2.02
1078	534562	23	2.02
1079	534653	21	2.02
1080	534779	63	2.02
1081	534837	31	2.02
1082	537104	20	2.01
1083	537584	113	2.01
1084	538840	67	2.01
1085	539676	40	2.01
1086	539812	112	2.01
1087	541160	64	2.01
1088	542098	90	2.01
1089	542338	49	2.01
1090	543592	35	2.01
1091	543636	27	2.01
1092	543680	89	2.01
1093	543957	80	2.01
1094	546446	45	2.00
1095	546485	67	2.00
1096	546642	39	2.00
1097	546945	23	2.01
1098	547008	28	2.01
1099	547679	21	2.01
1100	549790	41	2.00
1101	550309	22	2.00
1102	551186	40	2.00
1103	551534	52	2.00
1104	552553	69	2.00
1105	553001	52	2.00
1106	553178	26	2.00
1107	553835	29	2.00
1108	553877	21	2.00
1109	554499	192	2.00
1110	554802	22	2.00
1111	555117	22	2.00
1112	556459	39	2.00
1113	556981	35	2.00
1114	557770	39	2.00
1115	558055	31	2.00
1116	558825	61	2.00
1117	558863	21	2.00
1118	559806	36	2.00
1119	560158	22	2.00
1120	560274	43	2.00
1121	560638	58	2.00
1122	560979	27	2.00
1123	561041	20	2.00
1124	561873	129	2.00
1125	562193	24	2.00
1126	562276	57	2.00
1127	562896	55	2.00
1128	562946	40	2.00
1129	563487	36	2.00
1130	563668	63	2.00
1131	564087	37	2.01
1132	564767	42	2.00
1133	564822	74	2.01
1134	564935	272	2.01
1135	565491	55	2.01
1136	565842	35	2.01
1137	566338	24	2.01
1138	567229	47	2.01
1139	568075	40	2.01
1140	568246	30	2.01
1141	568602	31	2.01
1142	568997	29	2.01
1143	569404	28	2.01
1144	569947	65	2.01
1145	570499	20	2.01
1146	571559	25	2.01
1147	574173	20	2.00
1148	575330	21	2.00
1149	576042	91	1.99
1150	576560	20	1.99
1151	576818	21	2.00
1152	577550	44	1.99
1153	580773	39	1.99
1154	581308	41	1.99
1155	581337	21	1.99
1156	582061	38	1.99
1157	582301	21	1.99
1158	582800	37	1.99
1159	582914	21	1.99
1160	584212	25	1.99
1161	584573	66	1.99
1162	584688	56	1.99
1163	585524	20	1.99
1164	586063	34	1.99
1165	586129	110	1.99
1166	587867	23	1.98
1167	587947	51	1.98
1168	588257	31	1.99
1169	588699	53	1.99
1170	589666	72	1.98
1171	589732	34	1.99
1172	589954	22	1.99
1173	590014	39	1.99
1174	590779	38	1.99
1175	590966	26	1.99
1176	591240	23	1.99
1177	592592	20	1.99
1178	592874	30	1.99
1179	593273	47	1.99
1180	593514	29	1.99
1181	593993	48	1.99
1182	595076	54	1.99
1183	597218	31	1.98
1184	597508	42	1.98
1185	597523	27	1.98
1186	597806	35	1.98
1187	600331	29	1.98
1188	600965	20	1.98
1189	601364	21	1.98
1190	601746	22	1.98
1191	602180	58	1.98
1192	603035	30	1.98
1193	603179	24	1.98
1194	603506	23	1.98
1195	603585	38	1.98
1196	604128	24	1.98
1197	604324	32	1.98
1198	604534	31	1.98
1199	604723	78	1.98
1200	605211	36	1.98
1201	605231	26	1.98
1202	606322	34	1.98
1203	606548	21	1.98
1204	606809	22	1.98
1205	606902	25	1.99
1206	606928	30	1.99
1207	606983	51	1.99
1208	607047	73	1.99
1209	607112	27	1.99
1210	607792	96	1.99
1211	608508	48	1.99
1212	609218	28	1.99
1213	609318	68	1.99
1214	610488	28	1.99
