evNum	picoTimeMs	adcAtEvent	rateOverall
760	392962	81	1.93
761	393566	242	1.93
762	393794	70	1.94
763	394058	24	1.94
764	394685	293	1.94
765	395455	43	1.93
766	397504	27	1.93
767	397562	74	1.93
768	398550	24	1.93
769	398636	21	1.93
770	399077	246	1.93
771	399106	35	1.93
772	399818	30	1.93
773	400807	22	1.93
774	401201	68	1.93
775	401450	27	1.93
776	401479	115	1.93
777	401508	25	1.94
778	401956	30	1.94
779	401984	23	1.94
780	402316	62	1.94
781	402416	25	1.94
782	402540	124	1.94
783	402776	63	1.94
784	403011	22	1.95
785	403679	20	1.94
786	404114	21	1.94
787	404198	21	1.95
788	404351	27	1.95
789	404433	53	1.95
790	404602	22	1.95
791	404846	36	1.95
792	405303	60	1.95
793	405686	113	1.95
794	406584	45	1.95
795	407146	61	1.95
796	410962	36	1.94
797	411344	40	1.94
798	411428	48	1.94
799	411484	35	1.94
800	412016	23	1.94
801	412117	41	1.94
802	412202	51	1.95
803	412744	21	1.95
804	413237	20	1.95
805	413859	22	1.95
806	414249	26	1.95
807	414432	31	1.95
808	414599	40	1.95
809	415017	23	1.95
810	415621	36	1.95
811	415948	26	1.95
812	416564	22	1.95
813	417250	20	1.95
814	418056	20	1.95
815	418889	21	1.95
816	419027	31	1.95
817	419824	34	1.95
818	419842	25	1.95
819	420157	28	1.95
820	420345	25	1.95
821	421200	80	1.95
822	421309	22	1.95
823	422220	22	1.95
824	423689	20	1.94
825	424938	39	1.94
826	425879	59	1.94
827	426498	43	1.94
828	427328	94	1.94
829	428332	44	1.94
830	428752	21	1.94
831	429159	51	1.94
832	429522	30	1.94
833	429652	22	1.94
834	429723	30	1.94
835	430014	78	1.94
836	430348	36	1.94
837	430574	37	1.94
838	430944	25	1.94
839	431008	22	1.95
840	432299	32	1.94
841	432477	32	1.94
842	433021	38	1.94
843	433758	27	1.94
844	433819	20	1.95
845	434002	35	1.95
846	435122	52	1.94
847	435307	33	1.95
848	435475	20	1.95
849	436764	89	1.94
850	437846	62	1.94
851	437983	166	1.94
852	438279	25	1.94
853	438531	22	1.95
854	438577	83	1.95
855	438699	41	1.95
856	440294	27	1.94
857	441511	36	1.94
858	441794	28	1.94
859	441991	129	1.94
860	443418	21	1.94
861	443774	21	1.94
862	444228	101	1.94
863	444734	65	1.94
864	444786	35	1.94
865	445431	29	1.94
866	445820	23	1.94
867	446073	30	1.94
868	446338	210	1.94
869	447142	57	1.94
870	447288	43	1.95
871	447394	66	1.95
872	447918	27	1.95
873	448498	92	1.95
874	450252	25	1.94
875	451387	150	1.94
876	451429	43	1.94
877	451648	55	1.94
878	451899	21	1.94
879	454029	21	1.94
880	454880	56	1.93
881	455304	20	1.93
882	456057	24	1.93
883	457628	34	1.93
884	457979	23	1.93
885	458724	44	1.93
886	459151	28	1.93
887	459523	43	1.93
888	459696	23	1.93
889	459879	77	1.93
890	460731	48	1.93
891	463059	33	1.92
892	463145	23	1.93
893	463607	32	1.93
894	463669	42	1.93
895	464192	262	1.93
896	465732	20	1.92
897	466315	62	1.92
